,0,1,2
0,8.122288,1.6654258,4.6190634
1,10.540736,3.652655,4.6197
2,10.8488035,4.200145,4.6368694
3,9.5068445,2.831623,3.2123787
4,7.1754208,2.8116217,6.0294147
5,8.338183,2.509212,5.034034
6,10.680182,4.201887,4.221862
7,10.665012,3.0112488,4.2902164
8,6.9562597,1.7766999,4.939326
9,6.8467774,2.0258796,5.267218
10,7.528096,2.1420577,5.8673344
11,10.8584,3.5008085,4.10273
12,6.7122235,2.885935,6.444587
13,6.835138,1.8169615,5.0180855
14,9.774393,2.5556061,3.7540505
15,8.951416,2.2154016,5.3024116
16,9.833791,3.2181773,3.3026314
17,10.3868685,3.2142572,4.598686
18,6.7471194,1.9245781,6.053716
19,8.103971,1.8571064,5.079069
20,10.064956,2.771983,3.1898577
21,10.457592,4.2016044,4.553109
22,11.29664,4.437455,4.4389625
23,8.335045,2.0467741,4.76438
24,8.935934,2.6352103,4.9919543
25,9.226147,2.564031,5.030052
26,10.622024,3.30416,4.4235272
27,8.553662,1.8908427,4.3941574
28,7.317497,2.1628647,4.870606
29,6.52861,2.2038202,5.964386
30,9.665696,2.8987975,2.937341
31,10.639736,4.5063534,4.4490004
32,10.322132,2.9819756,3.4880936
33,11.082723,4.686343,4.428464
34,6.367054,2.8509054,6.1597447
35,6.494673,2.5851057,6.2423444
36,9.177241,2.4861674,4.620975
37,7.190797,1.7714856,5.510166
38,6.3097286,2.806542,6.400233
39,9.271507,2.8862326,3.9678051
40,6.642537,1.664594,5.4729295
41,9.0764265,2.6190095,3.6842802
42,7.180855,1.5758277,5.2068963
43,7.904107,2.115247,5.2138343
44,8.644773,2.4094546,5.5355415
45,9.069479,2.0330737,4.3750563
46,6.551986,1.7491729,5.842262
47,7.038202,2.0564132,6.2594237
48,9.917317,3.0724797,2.7479994
49,11.086129,4.527751,4.6375175
50,11.07968,4.1791463,4.380018
51,9.830204,2.3700788,3.2882154
52,10.519438,3.0582955,3.6920414
53,10.041166,2.767978,4.6454163
54,7.077431,2.5971768,6.289728
55,9.613485,2.2216752,3.7767959
56,9.592235,3.0857508,3.168438
