,0,1,2
0,4.9265738,7.8645115,3.3723779
1,5.358998,9.583231,4.599975
2,4.50257,8.736772,4.1525965
3,6.33029,10.156256,4.500585
4,4.7605405,7.5536532,3.9961133
5,5.1727753,8.509331,5.0439343
6,5.7606883,9.919354,4.392022
7,5.964572,8.602849,4.3682823
8,7.537534,10.3827715,5.497662
9,4.9023557,7.9124146,3.8338585
10,4.5299067,8.296897,3.8868835
11,5.3321505,8.074147,3.469441
12,5.702469,9.84512,5.7089453
13,6.233233,8.982235,5.5857015
14,7.238982,10.190552,5.83822
15,4.6260014,8.060859,4.448278
16,5.0672975,9.478857,4.125552
17,6.6250625,9.689818,5.829935
18,5.4704084,8.860498,4.2028146
19,6.0948315,7.849366,3.8521616
20,5.322728,9.101758,5.50369
21,5.172988,8.778911,4.51437
22,6.642764,10.261531,5.894543
23,5.560577,9.302012,5.8392887
24,7.5969424,9.951096,5.59944
25,6.653735,8.777323,4.5761952
26,6.1522903,8.159968,3.6306448
27,6.996275,10.765786,5.306693
28,5.400773,7.6123843,3.8469026
29,5.54583,9.997337,5.26251
30,7.3412075,10.473707,5.3024216
31,7.186486,9.788592,4.691381
32,6.8870845,9.447708,4.4229465
33,6.317189,10.138431,5.0176206
34,4.6712055,8.408215,4.622823
35,5.8135633,7.8261485,3.5046089
36,6.0144496,9.473688,4.043629
37,7.377346,9.308216,4.905559
38,6.071884,9.303455,4.995642
39,7.0618024,10.408067,4.833469
40,6.7643185,10.086029,5.136175
