,0,1
0,2.2304165,7.0490994
1,2.3972754,9.424059
2,1.4281563,7.7849746
3,2.0140154,8.857278
4,1.4597076,7.432026
5,2.846534,4.9111304
6,3.6997168,3.4779313
7,0.7605973,4.759995
8,2.3333864,4.8462415
9,3.18602,6.9117274
10,3.8323772,6.0746903
11,3.664212,5.135188
12,3.3151245,3.4296346
13,1.1798887,3.660604
14,1.8403027,8.146691
15,2.303128,3.9304569
16,3.8711703,7.910178
17,4.2006426,6.8607764
18,2.4720814,9.444203
19,1.2857317,4.0617576
20,3.4004583,7.3736377
21,2.4829261,9.768099
22,4.150641,5.8804135
23,2.92834,10.013929
24,0.44803545,4.2686057
25,1.4017146,6.4776735
26,0.648433,3.5378923
27,0.6066289,3.846589
28,0.61483204,4.5042243
29,2.5536544,3.3868039
30,3.6700256,3.4967403
31,2.4769843,5.7184052
32,3.2736936,9.570328
33,3.1100955,9.965709
34,3.3071368,9.857272
35,3.4036121,9.716619
36,1.6616158,8.05647
37,0.75323844,6.580194
38,1.009896,3.755268
39,2.506036,3.209448
40,1.5964729,8.711471
41,0.5142554,3.2362676
42,0.55252147,3.4882662
43,2.0508192,7.8567486
44,0.75204885,3.135879
45,1.0156987,3.1375718
46,2.0376484,8.920716
47,0.7950041,3.1929712
48,1.3608167,6.929101
49,1.6392481,8.730222
50,0.95670956,6.940793
51,0.90555876,6.470111
52,0.7722635,3.290547
53,0.5659214,3.383645
54,0.5618204,3.4148057
55,1.2670788,3.2239408
56,1.2833979,7.183388
57,1.33935,8.647551
58,3.4151947,7.43532
59,2.350994,5.170116
60,1.6726583,3.4071405
61,3.3805163,4.044046
62,3.8915434,4.9294744
63,1.4457427,8.000193
64,0.72742534,4.31368
65,3.1832867,3.3307536
66,0.93491614,5.719127
67,3.0531557,6.12218
68,2.4351664,5.338032
69,0.42994705,4.4124155
70,3.1705725,3.830037
71,3.6153712,4.261807
72,4.2656546,6.556071
73,2.241901,7.3234434
74,2.656487,7.3745823
75,3.3049793,4.8104205
76,2.0076568,3.554394
77,3.7533479,4.6911335
78,1.4733626,3.826685
79,3.7649481,3.6817539
80,1.2087836,3.399188
81,2.153682,5.0105715
82,3.6720517,8.049687
83,3.6281807,6.422038
84,0.950961,3.9303017
85,1.3456932,3.0998967
86,0.96173406,3.4187863
87,3.3656204,5.162367
88,2.8924358,3.0944116
89,1.6794438,4.761595
90,3.7368615,7.244022
91,3.8142722,3.587635
92,2.6421993,8.751008
93,2.3532097,7.038545
94,2.879588,3.0936115
95,1.0863619,3.6326146
96,2.6335862,5.102617
97,3.6419594,8.256853
98,2.4552755,7.349727
99,3.390272,5.631263
100,2.640388,9.891024
101,2.6857388,3.3528798
