,0,1,2
0,3.0076418,2.4304216,-0.03791156
1,2.7675362,3.1170788,0.29043075
2,5.3320518,4.7912836,4.4356146
3,4.3525324,3.7026665,6.0661383
4,3.22882,2.813047,0.034541465
5,3.1090117,2.8318603,0.50701386
6,5.999278,4.642333,5.5078454
7,4.99603,3.5653925,5.767584
8,4.695339,3.721975,4.0783496
9,5.3172073,5.30119,6.313969
10,4.9073815,5.1872177,6.426925
11,5.217356,5.196747,4.948783
12,3.532599,1.6472722,-0.21174337
13,3.7874827,1.7937951,-0.2718548
14,5.5726595,6.3851733,6.2159863
15,4.7774243,3.5305965,5.1124163
16,2.608585,2.3646421,0.35173655
17,4.6872263,3.6521497,5.506342
18,3.4722688,2.3737316,-0.28640378
19,5.9409523,5.2906194,6.39084
20,4.233926,3.5183322,5.090853
21,4.9910755,4.3390584,4.017622
22,3.5813186,1.7771963,-0.3951977
23,3.9962385,3.1510935,5.294304
24,5.574829,6.0833163,5.948932
25,5.198145,4.4535456,4.1187906
26,3.5483308,2.0623834,-0.054888807
27,4.679369,4.05733,4.05172
28,6.0500164,6.0272074,6.117908
29,2.7826293,2.724945,0.79557306
30,5.5763593,4.897796,4.7161736
31,6.0380964,5.845259,6.5589023
32,5.0039797,4.2932663,4.1939893
33,4.915247,3.7132325,4.554248
34,5.543089,3.9923737,4.838592
35,4.4999833,4.026338,6.2075305
36,4.856155,4.9401903,6.348016
37,5.987006,6.222783,6.2599206
38,5.60988,4.620795,5.146942
39,4.1615133,3.0954123,5.654417
40,5.7848225,4.857331,6.2130914
41,5.5269547,4.4358625,6.0449767
42,4.3924007,3.5889142,4.254371
43,5.5812855,4.0249443,5.9031935
44,3.665267,1.8160546,0.25760612
45,5.7284017,4.3146477,5.3765926
46,4.7302046,3.8158832,5.946174
47,5.181711,4.389844,5.3719206
48,4.425015,3.1545465,5.4787745
49,2.6912634,2.788905,0.6091907
50,5.45072,6.052511,6.110092
51,5.249499,4.8562536,5.3256683
52,5.619597,5.39838,6.4405627
53,5.72223,6.182505,6.392626
54,4.178055,3.3455632,4.598355
55,5.4173,5.1025085,5.4147086
56,5.765971,4.452998,5.887466
57,3.2266994,2.3176453,0.6405281
58,3.7210674,2.2910903,0.36003938
59,5.2666864,3.8283117,4.725064
60,3.6525464,2.2778294,0.601427
61,5.5480256,4.9467473,5.00742
62,2.680615,2.791562,0.17955859
63,3.3419228,2.3961084,0.88334656
64,2.9571865,2.7801087,-0.12484548
65,5.054088,4.760814,5.0362186
66,5.680492,5.864896,6.402261
67,2.9974291,2.2563512,0.29730076
68,4.5790343,3.4868655,5.856721
69,3.0675123,2.605409,0.622537
70,3.7886307,1.9758626,-0.511164
