,0,1
0,4.9024606,6.365755
1,5.7532735,6.4549804
2,5.4507084,6.4465127
3,0.22774085,8.129986
4,-0.27836832,8.061956
5,-0.30453014,7.988473
6,5.001829,6.422948
7,2.0061786,4.3944407
8,5.6305275,6.456941
9,2.0198388,5.455093
10,-0.66110116,7.8538747
11,3.7507868,6.840329
12,2.506895,7.569294
13,4.986291,6.403778
14,2.0600188,4.4494686
15,6.0296474,7.109576
16,5.6361437,10.457393
17,1.6207081,10.469878
18,-0.8794949,10.229684
19,-0.1697296,9.552728
20,2.596647,8.761467
21,0.99591255,8.199517
22,2.123219,9.058277
23,5.0321727,9.503701
24,2.3799078,8.907889
25,3.4838998,7.6225157
26,3.5446312,7.11462
27,3.4370637,7.192473
28,3.443333,7.728179
29,2.2934465,8.892197
30,2.201069,8.167094
31,1.7181425,9.812609
32,2.3882947,5.278277
33,-0.17713882,10.217902
34,-0.6305405,10.518045
35,6.0954847,8.428188
36,-1.8687084,9.453534
37,6.151398,8.102441
38,5.3401594,10.366333
39,6.8608003,9.673686
40,5.6874213,9.42812
41,3.9429858,7.0219345
42,5.2842236,8.906757
43,2.03457,5.6386366
44,5.355196,6.946453
45,5.345743,8.966371
46,5.53657,7.8847523
47,5.6838055,8.110044
48,4.6285315,8.517702
49,5.6993446,8.336465
50,5.67498,8.33495
51,5.154022,7.3978996
52,6.7324176,8.087143
53,6.33303,9.030211
54,5.7153277,7.196426
55,2.24435,5.4654145
56,6.976592,9.589774
57,6.1665983,8.638052
58,3.4745665,8.738922
59,1.8481989,10.732328
60,5.719,8.449178
61,2.3634787,9.179298
62,-0.12502836,7.7598977
63,3.5008774,9.741219
64,-0.80871344,10.384698
65,1.549561,10.7260275
66,0.7109255,8.420203
67,3.1662717,7.1167126
68,-1.9786253,9.381823
69,-0.9333271,7.91283
70,-1.8643049,8.187749
71,0.8322319,10.959882
72,5.2106214,6.4949617
73,4.800627,6.442298
74,6.467291,9.385305
75,1.7191325,8.810516
76,4.578194,8.91765
77,2.4847322,7.117585
78,-1.7940509,9.551027
79,1.161352,9.1443815
80,-2.0461376,9.052675
81,0.8330246,8.457025
82,-1.8551134,9.036907
83,-0.3907751,8.331314
84,-0.091860116,8.125924
85,-0.24256591,9.6228075
86,-0.3957864,9.257386
87,2.5311954,7.447826
88,-1.0033348,8.441508
89,-0.0034773382,9.23365
90,4.962256,6.4778705
91,5.3894706,9.982924
92,1.4950789,8.842415
93,0.043624803,8.211868
94,4.931655,8.917472
95,0.6807523,9.525563
96,4.804405,6.4696794
97,1.9071832,4.889396
98,4.1233826,9.568736
99,1.6260432,8.708817
100,0.060301464,8.392254
101,6.780067,7.8263
102,5.711361,6.624224
103,5.447613,7.6453705
104,5.774942,6.8170795
105,7.0749817,9.821715
106,5.6616135,6.8251843
107,1.9916452,4.4091387
108,0.24045287,9.526884
109,6.9820194,9.633596
110,6.347114,9.344677
111,-0.96592504,9.54631
112,1.4259042,9.952791
113,5.8119845,6.6630664
114,3.2914095,8.5264015
115,2.2898679,5.250729
