,0,1,2
0,7.2704053,0.7927385,7.890295
1,6.959042,1.1338996,7.7192883
2,-2.2962236,6.0134873,5.708164
3,4.6333385,3.4316075,5.504263
4,4.968515,2.7403753,5.518956
5,8.021693,2.3787384,6.059923
6,9.4451685,0.39051175,7.9656925
7,6.83081,1.105309,7.3424
8,10.011916,0.5478019,7.126831
9,9.653827,1.3826747,6.4952483
10,8.898759,0.44490036,7.8529615
11,9.322418,0.22175245,7.9015236
12,4.658027,3.3903756,5.5303144
13,9.866825,1.0054036,7.2757173
14,6.9041624,1.137148,7.233212
15,-0.7175656,5.391666,4.587105
16,5.184597,2.94329,4.6820645
17,-1.5436093,5.933742,4.877734
18,6.4447527,2.6731439,6.051118
19,8.457935,1.616835,7.0648623
20,8.351998,1.4874583,7.0802608
21,9.430858,0.76897895,7.807277
22,-1.7626476,6.024369,4.915459
23,-1.0000325,5.635183,5.0486655
24,6.5645003,1.1716309,6.125328
25,-1.1003164,5.5971823,5.75277
26,-1.2297927,5.673558,5.700067
27,6.522906,1.4002402,5.604723
28,7.6720753,1.0183072,6.858435
29,7.9246078,0.47623923,6.9341793
30,-0.7369827,5.587214,4.6956277
31,9.246121,0.26033422,7.658284
32,9.499865,1.4280628,6.3512363
33,-2.5585186,6.556785,5.540899
34,8.063901,1.2786347,6.851909
35,7.330061,1.0892658,8.143687
36,8.707725,1.2640523,7.0701523
37,6.298981,2.3771262,5.54128
38,8.923949,1.4298766,7.188387
39,9.564541,1.366765,6.3659697
40,9.118549,0.18913558,7.610027
41,9.738252,1.2226647,6.345568
42,-2.396254,6.1494427,5.5798006
43,4.7566957,3.039776,5.2536454
44,9.353729,1.6303893,6.5720353
45,9.991594,0.4457433,7.4896283
46,9.732971,0.51472366,7.9202285
47,9.698433,0.5759282,7.8826976
48,-2.5348763,6.0803165,5.594952
49,4.6798325,3.6090248,5.2913556
50,10.061174,0.6312887,7.229198
51,-1.2704445,5.7062044,4.765712
52,9.09632,0.38150674,7.9409084
53,-2.8109908,6.152581,5.328575
54,-2.7410207,5.9663525,5.1838255
55,-1.703572,5.8390265,5.333393
56,8.814378,1.3039652,6.388406
57,6.4648566,2.6239352,5.5459704
58,6.2045693,2.4485962,6.0748267
59,7.1851707,1.7182596,7.361254
60,-1.0659063,5.1148844,5.0541697
61,8.109208,2.3341997,6.1315517
62,9.729987,0.8813266,6.831989
63,7.6512613,0.9729695,7.8828707
64,9.565611,0.55479074,7.0989194
65,8.373306,1.5945953,7.3975263
66,6.2342286,1.863543,5.100001
67,-2.6356578,6.3381777,5.203905
68,-0.74448407,4.952085,4.8179255
69,5.1704288,3.330199,5.862192
70,8.901948,1.0823957,7.73756
71,8.217853,0.39393756,6.8973594
72,5.0025544,2.9841745,5.632561
73,-2.3189602,5.9737215,5.619495
74,4.910109,4.2862687,4.853466
75,5.280022,3.1132064,4.799009
76,5.18464,3.278513,5.026673
77,-0.8203996,5.05406,4.619306
78,8.262712,1.5878329,7.317895
79,6.4114,2.2938979,6.5634975
80,8.646106,1.2514753,6.473342
81,6.259276,2.7102032,6.016447
82,6.0463142,3.1035018,5.273407
83,5.9353147,2.0559857,5.1072044
84,-1.3037293,5.518205,5.4890103
85,9.986071,0.51078796,7.750036
86,8.467875,2.2081318,6.237509
87,9.659238,1.4214286,6.849623
88,8.25747,2.2557347,6.2083206
89,6.638196,1.6886507,5.34823
90,8.388387,0.62116724,7.56963
91,7.934548,1.4461768,7.6741076
92,9.314587,0.3312049,7.274341
93,-1.4479927,5.701333,5.067148
94,8.924911,1.4954114,6.583444
95,-2.0128608,6.277435,5.034001
96,8.211648,1.5843064,6.8322587
97,7.1403713,0.8681333,7.116584
98,5.3051453,2.986579,5.8284416
99,9.667515,1.2505782,6.3762264
100,-2.7039478,6.523349,5.302791
101,5.6206408,2.1036694,5.042778
102,7.277939,1.543919,7.8173876
103,9.852192,0.9095437,7.2383575
104,6.5188227,1.7365488,5.38236
105,8.153682,0.6949836,6.8358297
106,-0.7010994,5.1394873,5.4743648
107,6.8426714,1.6523825,5.5018396
108,8.332166,1.0220318,6.658258
109,5.305941,2.0390663,5.488234
110,5.0933614,3.1211462,5.4150777
111,5.054493,3.1345177,4.7512746
112,5.302642,3.318703,5.9576364
113,8.457951,1.390144,7.393664
114,5.0715756,2.4796114,4.962007
115,5.030234,3.6887426,5.007696
116,7.5689535,1.9344229,6.6112137
117,5.0725946,3.1028912,5.170082
118,7.327974,0.85762477,7.030674
119,7.0378366,2.653218,5.710898
120,7.211142,1.1093848,7.6297956
121,8.310971,1.5168196,7.480451
122,-1.876868,6.3823013,4.763814
123,-0.6828278,5.0125484,4.9076962
124,7.1753416,1.4442484,8.146233
125,7.085384,1.3726107,7.3543324
126,5.8746943,2.1102293,5.404488
127,5.081781,2.4415576,5.040783
128,7.181837,0.97234297,7.7951984
129,8.976078,0.3437122,7.330622
130,8.254175,0.7265664,6.853416
131,-1.4555445,5.35078,4.789286
132,9.9149275,0.42685464,7.696332
133,4.9412513,4.1540203,5.0582566
134,8.569704,2.1736116,6.2545037
135,9.810221,0.48814547,7.818679
136,6.9239707,1.3555878,7.3330107
137,4.786781,3.4881659,4.8329906
138,5.1857924,2.4072275,4.8855615
139,6.431214,2.1754732,5.60442
140,-0.9924236,5.298194,5.4449234
141,7.5105743,0.8495346,7.3987384
142,7.089012,1.356117,7.624639
143,9.725406,1.1646178,6.364366
144,4.9092226,3.1277936,4.9883585
145,6.909957,2.7461452,5.8452463
146,-2.3760386,6.0183682,5.3044596
147,5.3839207,2.9040883,5.113584
148,6.4140024,1.3805257,5.9529505
149,7.5560617,1.109401,8.165219
150,9.203913,0.22714104,7.7029223
151,7.4490995,1.5133108,7.4924116
152,5.420931,2.672803,6.0431924
153,8.604903,1.3119069,6.8426576
154,-1.1933017,5.863255,5.1884384
155,5.0372005,3.1952677,5.4815755
156,8.623282,1.1855835,7.214742
157,5.921232,2.0192847,5.0242453
158,6.548355,2.4950976,5.7608414
159,7.831785,1.0534371,6.630682
160,7.612999,0.7630792,7.641758
161,4.650589,3.2385726,5.68966
162,4.7226596,3.3115902,5.669642
163,6.5485063,1.4769936,5.4337306
164,9.940298,0.46300474,7.684526
165,8.020233,0.9077991,7.4718704
166,10.104089,0.5434811,7.4422626
167,5.2956877,2.5049064,5.911627
168,-1.6055207,6.059083,4.739205
169,7.308073,1.1725633,8.12353
170,6.0612574,2.96073,5.9955344
171,4.895363,4.179532,5.0184417
172,7.7715473,1.4020263,7.783435
173,-1.4658442,5.776457,4.9658775
174,7.380859,1.1167867,8.221377
175,-1.3338776,5.7007375,5.023995
176,8.7301445,0.83159745,7.7030954
177,6.6008806,1.5519384,5.514778
178,4.718992,3.2890296,5.610313
